prod1_1,category,sbu_name,statename,company_name,distname,prod2,comname,psu_pvt,statecode,orgrocd,dist,productname_org,total,distcode,comcode,code,productcode,zone_name,region_name,newcode,fiscal_year,coname,month_name,netweight_tmt,com_type,productname,prod1,entity_id,updated_at,created_at,ro
HSD,R,RETAIL,ANDHRA PRADESH,MPSU,SRI POTTI SRIRAMULU NELLORE,HSD-Normal,HPCL,PSU,AP,15,SRI POTTI SRIRAMULU NELLORE,HSD BS VI Normal,61671.90083,AP30,1050,RETAILAP30,15080,SCZ,SOUTH,AP30,2021-2022,HPCL,MAY,4418.181818,PSU,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,MPSU,PRAKASAM,HSD-Normal,HPCL,PSU,AP,15,PRAKASAM,HSD BS VI Normal,59709.91736,AP13,1050,RETAILAP13,15080,SCZ,SOUTH,AP13,2021-2022,HPCL,MAY,4349.586777,PSU,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,MPSU,CHITTOOR,HSD-Normal,HPCL,PSU,AP,15,CHITTOOR,HSD BS VI Normal,49648.76033,AP06,1050,RETAILAP06,15080,SCZ,SOUTH,AP06,2021-2022,HPCL,MAY,3671.900826,PSU,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,SRI POTTI SRIRAMULU NELLORE,HSD-Normal,SHELL,PVT,AP,15,SRI POTTI SRIRAMULU NELLORE,HSD BS VI Normal,186.7768595,AP30,1160,RETAILAP30,15080,SCZ,SOUTH,AP30,2021-2022,SHELL,MAY,0,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,PRAKASAM,HSD-Normal,SHELL,PVT,AP,15,PRAKASAM,HSD BS VI Normal,380.9917355,AP13,1160,RETAILAP13,15080,SCZ,SOUTH,AP13,2021-2022,SHELL,MAY,0,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,CHITTOOR,HSD-Normal,SHELL,PVT,AP,15,CHITTOOR,HSD BS VI Normal,1000,AP06,1160,RETAILAP06,15080,SCZ,SOUTH,AP06,2021-2022,SHELL,MAY,56.19834711,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,PRAKASAM,HSD-Normal,NEL,PVT,AP,15,PRAKASAM,HSD BS VI Normal,27571.95,AP13,1140,RETAILAP13,15080,SCZ,SOUTH,AP13,2021-2022,NEL,MAY,2197.44,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,SRI POTTI SRIRAMULU NELLORE,HSD-Normal,NEL,PVT,AP,15,SRI POTTI SRIRAMULU NELLORE,HSD BS VI Normal,8713.49,AP30,1140,RETAILAP30,15080,SCZ,SOUTH,AP30,2021-2022,NEL,MAY,660.45,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,PVT,CHITTOOR,HSD-Normal,NEL,PVT,AP,15,CHITTOOR,HSD BS VI Normal,14463.32,AP06,1140,RETAILAP06,15080,SCZ,SOUTH,AP06,2021-2022,NEL,MAY,1198.56,PVT,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
HSD,R,RETAIL,ANDHRA PRADESH,MPSU,SRI POTTI SRIRAMULU NELLORE,HSD-Normal,IOCL,PSU,AP,15,SRI POTTI SRIRAMULU NELLORE,HSD BS VI Normal,57221.789,AP30,1060,RETAILAP30,15080,SCZ,SOUTH,AP30,2021-2022,IOCL,MAY,4190.038,PSU,HSD,HSD,,2025-08-23 10:43:56,2025-08-23 10:43:56,NELLORE
